,route_name,first,second,company_id,regulative_institution,route_number,route_regularity,drives_per_day,bus_comfort_level,bus_age,license_data,company_name,number_of_buses
12,Львів-Рогатин,Львів,Рогатин,3585870385694968854,Укртрансбезпека ,1/2,щоденно,один ,"М2, М3, В,ІІІ",Починаючи з 2011 року,15.09.2011-14.09.2016,"ТДВ ""Миколаївське АТП 14627"", адреса:Львівське шосе, 1, м.Миколаїв, Львівська область, 81600, АГ 504902 ",1+1
13,Дебальцеве - Красний Луч,Дебальцеве,Красний Луч,3100703292542429013,Укртрансбезпека ,3/4,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1986 року,22.04.2013 - 21.04.2018,"ТДВ ""АТП 10911"", адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область, 94505, АД 033931",1+1
14,Київ - Новодністровськ,Київ,Новодністровськ,7290312008422022859,Укртрансбезпека ,3/4,щоденно,один ,"М3, ІІІ",Починаючи з 2010 року ,06.03.2012-05.03.2017,"ТОВ ""Київ-Експрес-1"", адреса: вул.Службова, 5, м.Київ, 03115, АВ 532308",2+1
15,Бар - Віньківці ,Бар,Віньківці,0,Укртрансбезпека ,3/4,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",-,,,1+1
16,Харків - Кирилівка,Харків,Кирилівка,1416682163921074515,Укртрансбезпека ,3/4,"щоденно, сезонний - в період з 15.06 по 15.09.",один ,"М3, ІІІ",Починаючи з 1987 року,19.05.2011-18.05.2016,"ФОП Возруд М.А., адреса: вул.Велика Кільцева, 136, кв.48, м.Харків, 61143",2+1
17,Рівне - Луцьк,Рівне,Луцьк,8928809461615631697,Укртрансбезпека ,3/4,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2009 року,25.07.2011-24.07.2016,"ФОП Сергеєва Н.І., адреса: вул. Клима Савура, 1, кв.30, м.Рівне, 33023, АВ 532962",1+1
18,Київ - Коростень,Київ,Коростень,8876115852634260911,Укртрансбезпека ,3/4,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2007 року ,21.08.2014-20.08.2019,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
19,Жовті Води - Кіровоград,Жовті Води,Кіровоград,925510290047060441,Укртрансбезпека ,3/4,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2011 року,20.04.2014-19.04.2019,"ТОВ ""Автомобільна  компанія ""Транспортні лінії України"", адреса: вул.Виставочна, 2-В, м.Кіровоград, 25014, АГ 586996",1+1
20,Львів-Ворохта,Львів,Ворохта,3210629315538505396,Укртрансбезпека ,3/4,щоденно,один ,"М3, ІІІ",Починаючи з 2003 року,01.02.2012-31.01.2017,"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",1+1
21,Нововоронцовка - Кривий Ріг,Нововоронцовка,Кривий Ріг,0,Укртрансбезпека ,3/4,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
22,Полтава-Черкаси,Полтава,Черкаси,8288678435830137262,Укртрансбезпека ,3/4,щоденно,один ,"М3, ІІІ",Починаючи з 2006 року,13.04.2011-12.04.2016,"ПП ""ЛЮГ"", адреса: пров. Рибальський, буд.10-А, м.Полтава, 36020, АЕ 265082",1+1
23,Голованівськ - Київ ,Голованівськ,Київ,3753025042805931526,Укртрансбезпека ,3/4,щоденно,один ,"М3, ІІІ",-,-,-,2+1
24,Конотоп-Бахмач,Конотоп,Бахмач,3753025042805931526,Укртрансбезпека ,3/4,щоденно,один ,"М2, М3, В, ІІ, ІІІ",-,-,-,1+1
25,Драбів-Київ,Драбів,Київ,3753025042805931526,Укртрансбезпека ,3/4,Прямий та зворотній рейси виконуються Пон.Пт.Суб.Нед.,один ,"М3, ІІІ",-,-,-,1+1
26,Дебальцеве - Красний Луч,Дебальцеве,Красний Луч,3100703292542429013,Укртрансбезпека ,5/6,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1986 року,22.04.2013-21.04.2018,"ТДВ ""АТП 10911"", адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область, 94505, АД 033931",1+1
27,Кривий Ріг-Херсон,Кривий Ріг,Херсон,6138143282378117453,Укртрансбезпека ,5/6,щоденно, один,"М3, ІІІ",Починаючи з 2006 року,06.06.2015-05.06.2020,"ТОВ ""ТСК-Авто"", адреса: вул. Урицького, буд. 4, м.Кривий Ріг, Дніпропетровська область, 50004, АВ 616229",1+1
28,Волочиськ-Київ,Волочиськ,Київ,0,Укртрансбезпека ,5/6,"Прямий рейс виконується Чт.Нед, зворотній рейси - Пон.Пт.",один ,"М3, ІІІ",,,,2+1
29,Рівне - Луцьк,Рівне,Луцьк,8928809461615631697,Укртрансбезпека ,5/6,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2009 року,25.07.2011-24.07.2016,"ФОП Сергеєва Н.І., адреса: вул. Клима Савура, 1, кв.30, м.Рівне, 33023, АВ 532962",1+1
30,Київ-Коростень,Київ,Коростень,8876115852634260911,Укртрансбезпека ,5/6,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,18.11.2011-17.11.2016,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
31,Миргород-Мелітополь,Миргород,Мелітополь,8288678435830137262,Укртрансбезпека ,5/6,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,24.09.2015-23.09.2020,"ПП ""ЛЮГ"", адреса: пров. Рибальський, буд.10-А, м.Полтава, 36020, АЕ 265082",2+1
32,Нововоронцовка-Апостолове,Нововоронцовка,Апостолове,0,Укртрансбезпека ,5/6,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
33,Конотоп-Бахмач,Конотоп,Бахмач,0,Укртрансбезпека ,5/6,"Прямий та зворотній рейси виконуються Пт, Нед.",один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
34,Чернівці-Снятин,Чернівці,Снятин,6062980751049362430,Укртрансбезпека ,5/6,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2001 року,21.11.2012-20.11.2017,"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",
35,Вінниця-Умань,Вінниця,Умань,1911511571476742474,Укртрансбезпека ,5/6,щоденно,один ,"М3, ІІІ",Починаючи з 1997 року ,30.11.2015-29.11.2020,"ПП "" АТП Кривешко"", адреса: Немирівське шоссе, буд. 92-в, с.Вінницькі Хутори, Вінницький район, Вінницька область, АГ 592041",1+1
36,Запоріжжя-Донецьк,Запоріжжя,Донецьк,1400032213064831939,Укртрансбезпека ,5/6,щоденно,один ,"М3, ІІІ",Починаючи з 1989 року,21.10.2010-20.11.2015,"ТОВ ""Альфа Транс"", адреса: пр-т Ювілейний, 20-А, кв.204, м.Запоріжжя, 69114, АД 033480",1+1
37,Дебальцеве - Красний Луч,Дебальцеве,Красний Луч,3100703292542429013,Укртрансбезпека ,7/8,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1986 року,22.04.2013-21.04.2018,"ТДВ ""АТП 10911"", адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область, 94505, АД 033931",1+1
38,Чернівці-Городенка,Чернівці,Городенка,1008905102856535491,Укртрансбезпека ,7/8,щоденно,один ,"М2, М3, В, II, III",Починаючи з 2005 року,16.12.2015-15.12.2020,"ПП ""Нов-Транс-Авто"", адреса: вул. Котовського, буд. 106-А, м.Новоселиця, Чернівецька область, АЕ 421060",1+1
39,Каховка-Полтава,Каховка,Полтава,0,Укртрансбезпека ,7/8,щоденно,один ,"М3, ІІІ",,,,2+1
40,Шостка-Чернігів,Шостка,Чернігів,0,Укртрансбезпека ,7/8,"Прямий та зворотній рейси виконуються Пт, Нед.",один ,"М3, ІІІ",,,,1+1
41,Рівне-Луцьк,Рівне,Луцьк,0,Укртрансбезпека ,7/8,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
42,Київ-Коростень,Київ,Коростень,8876115852634260911,Укртрансбезпека ,7/8,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,18.11.2011-17.11.2016,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
43,Донецьк-Бердянськ,Донецьк,Бердянськ,8296598829594331390,Укртрансбезпека ,7/8,щоденно,один ,"М3, ІІІ",Починаючи з 2009 року,23.09.2014-22.09.2019,"ТОВ ""Горлівське АТП"", адреса вул.Пушкінська, 1, м.Горлівка, Донецька область, АД 076670",1+1
44,Тульчин - Кривий Ріг,Тульчин,Кривий Ріг,0,Укртрансбезпека ,8/9,щоденно,один ,"М3, ІІІ",,,,2+1
45,Київ-Оржиця,Київ,Оржиця,8645370933384813307,Укртрансбезпека ,9/10,Прямий та зворотній рейси виконуються Пон.Пт.Суб.Нед.,один ,"М3, ІІІ",Починаючи з 2008 року,23.03.2015-25.03.2020,"ТОВ ""АВТОПАС - К"", адреса:вул.Металургів, 22, м.Бровари, Київська область, 07400, АВ 561170 ",1+1
46,Стрий-Чернівці,Стрий,Чернівці,0,Укртрансбезпека ,9/10,щоденно,один ,"М3, ІІІ",,,,1+1
47,Армянськ-Хорли,Армянськ,Хорли,0,Укртрансбезпека ,9/10,щоденно ,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
48,Піщанка-Київ,Піщанка,Київ,6310795000111757833,Укртрансбезпека ,9/10,щоденно,один ,"М3, ІІІ",Починаючи з 1996 року,11.04.2015-10.04.2020,"ПрАТ ""Тульчинське АТП-10507"", адреса: вул.Польова,1, с.Нестерварка, Тульчинський район, Вінницька область, 23600, АГ 504834",1+1
49,Теофіполь-Рівне,Теофіполь,Рівне,7239310884416565769,Укртрансбезпека ,9/10,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2006 року,22.02.2014-24.02.2019,"ФОП Козак Л.О., адреса: вул. Шевченка, буд.13, с.Лисогірка, Теофіпольський район, Хмельницька область, 30614",1+1
50,Устинівка-Миколаїв,Устинівка,Миколаїв,0,Укртрансбезпека ,9/10,Прямий та зворотній рейси виконуються Вівт.Чт.Суб.,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
51,Київ-Коростень,Київ,Коростень,8876115852634260911,Укртрансбезпека ,9/10,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року ,21.08.2014-20.08.2019,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
52,Херсон-Мелітополь,Херсон,Мелітополь,3856106203801030552,Укртрансбезпека ,9/10,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,13.12.2011-12.12.2016,"ТОВ  ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",
53,Чернігів-Київ,Чернігів,Київ,0,Укртрансбезпека ,9/10,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
54,Донецьк-Бердянськ,Донецьк,Бердянськ,0,Укртрансбезпека ,9/10,"щоденно, сезонний - 15.05-15.09",один ,"М3, ІІІ",,,,1+1
55,Довбиш-Полонне,Довбиш,Полонне,4492515128251585620,Укртрансбезпека ,11/12,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1985 року,16.06.2011-15.06.2016,"ФОП Поліковський В.С., адреса: вул. Львівська, 45, смт.Довбиш, Баранівський район, Житомирська область, 12724, АЕ 572349",1+1
56,Київ-Дубно,Київ,Дубно,3832221645583017385,Укртрансбезпека ,11/12,щоденно,один ,"М3, ІІІ",Починаючи з 1990 року,23.01.2014-21.11.2017,"ПрАТ ""Дубенське АТП 15606"", адреса: вул.Мирогощанська, 62, м.Дубно, Рівненська область, 35600, АЕ 267978",2+1
57,Харків - Дніпро,Харків,Дніпро,2361155095988357674,Мінінфраструктури,11/12,щоденно,один ,"М3, ІІІ",Починаючи з 1998 року,06.11.2018-05.11.2023,"ТОВ "" Фірма Ікарус"", адреса: вул.Сіриківська, 12, м.Харків, 61017, 
№ 43Л",1+1
58,Острожець-Луцьк,Острожець,Луцьк,1528818939696425156,Укртрансбезпека ,11/12,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2002 року,19.02.2015-18.02.2020,"ФОП Прибиш П.Я., адреса:вул.Миру, 10, с.Острожець, Млинівський район, Рівненська область, 35100, АГ 584583",1+1
59,Київ-Червоноград,Київ,Червоноград,8540422903427980302,Укртрансбезпека ,11/12,щоденно,один ,"М3, ІІІ",Починаючи з 1994 року,09.02.2014-08.02.2019,"ТзДВ ""Червоноградське АТП 14628"", адреса: вул.Св.Володимира, 113, м.Червоноград, Львівська область, 80100, АГ 504823",2+1
60,Київ-Коростень,Київ,Коростень,8876115852634260911,Укртрансбезпека ,11/12,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року,21.08.2014-20.08.2019,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
61,Бердянськ-Донецьк,Бердянськ,Донецьк,0,Укртрансбезпека ,11/12,щоденно,один ,"М3, ІІІ",,,,1+1
62,Голованівськ - Київ ,Голованівськ,Київ,0,Укртрансбезпека ,11/12,щоденно,один ,"М3, ІІІ",,,,1+1
63,Олександрія-Кривий Ріг,Олександрія,Кривий Ріг,1172144590423871420,Укртрансбезпека ,11/12,Прямий та зворотній рейси виконуються Пт.Нед.,один ,"М2, М3, В, ІІІ",Починаючи з 1988 року,11.04.2015-10.04.2020,"ФОП Колоскова Н.А., адреса: вул.Семашко, 46, кв.90, м.Олександрія, Кіровоградська область, 28000, АД 065365",1+1
64,Чернівці-Снятин,Чернівці,Снятин,6062980751049362430,Укртрансбезпека ,11/12,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2001 року,21.11.2012-20.11.2017,"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",1+1
65,Чернігів-Київ,Чернігів,Київ,0,Укртрансбезпека ,11/12,щоденно,один ,"М2, М3, В, ІІІ",,,,1+1
66,Луганськ-Донецьк ,Луганськ,Донецьк,0,Укртрансбезпека ,13/14,щоденно,один ,"М3, ІІІ",,,,1+1
67,Армянськ-Хорли,Армянськ,Хорли,0,Укртрансбезпека ,13/14,щоденно, один,"М2, М3, В, ІІ, ІІІ",,,,1+1
68,Довбиш-Полонне,Довбиш,Полонне,4492515128251585620,Укртрансбезпека ,13/14,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1985 року,16.06.2011-15.06.2016,"ФОП Поліковський В.С., адреса: вул. Львівська, 45, смт.Довбиш, Баранівський район, Житомирська область, 12724, АЕ 572349",1+1
69,Хмельницький-Яремча,Хмельницький,Яремча,4567233328678315939,Укртрансбезпека ,13/14,щоденно, один,"М3, ІІІ",Починаючи з 1989 року,27.05.2015-26.05.2020,"ПП ""Яртранс"", адреса: вул. Гагаріна, буд. 5,, м.Хмельницький, АД 076623",2+1
70,Київ-Корюківка,Київ,Корюківка,4148295424222560352,Укртрансбезпека ,13/14,щоденно,один ,"М3, ІІІ",Починаючи з 1986 року,17.01.2013-16.01.2018,"ПП Курганський В.П., адреса:вул.Яблунева, 1, кв.35, с.Олександрівка, Чернігівський район, Чернігівська область, 15584, АГ 587995",1+1
71,Рівне-Луцьк,Рівне,Луцьк,8956083771415767247,Укртрансбезпека ,13/14,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2005 року,21.04.2011-20.04.2016,"Підприємство у формі ТОВ ВТП ""Санрайз"" ЛТД, адреса: пров. Дорожний, 4, м.Луцьк, 43023, АЕ 266844",1+1
72,Київ-Коростень,Київ,Коростень,8876115852634260911,Укртрансбезпека ,13/14,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,18.11.2011-17.11.2016,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
73,Чернігів-Київ,Чернігів,Київ,0,Укртрансбезпека ,13/14,щоденно,один ,"М2, М3, В, ІІІ",,,,1+1
74,Первомайськ-Слов'янськ,Первомайськ,Слов'янськ,0,Укртрансбезпека ,15/16,щоденно,один ,"М3, ІІІ",,,,1+1
75,Чернівці-Городенка,Чернівці,Городенка,1008905102856535491,Укртрансбезпека ,15/16,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2005 року,16.12.2015-15.12.2020,"ПП ""Нов-Транс-Авто"", адреса: вул. Котовського, буд. 106-А, м.Новоселиця, Чернівецька область, АЕ 421060",1+1
76,Дніпропетровськ - Зачепилівка,Дніпропетровськ,Зачепилівка,8851860013575201057,Укртрансбезпека ,15/16,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2005 року,06.08.2014-05.08.2019,"ТОВ ""АТП 11231"", адреса: вул. Винокурова, буд.11, м.Дніпропетровськ, 49051, АЕ 421996",1+1
77,Полтава-Черкаси,Полтава,Черкаси,8288678435830137262,Укртрансбезпека ,15/16,щоденно,один ,"М3, ІІІ",Починаючи з 2006 року,16.03.2011-15.03.2016,"ПП ""ЛЮГ"", адреса: пров. Рибальський, буд.10-А, м.Полтава, 36020, АЕ 265082",1+1
78,Донецьк-Херсон,Донецьк,Херсон,9087621431471251993,Укртрансбезпека ,15/16,щоденно,один ,"М3, ІІІ",Починаючи з 1989 року,17.02.2011-16.02.2016,"ПрАТ ""Херсонське АТП 16527"", адреса: Новомиколаївське шосе, 9, м.Херсон, 73034, АГ 504980",2+1
79,Рівне-Луцьк,Рівне,Луцьк,8956083771415767247,Укртрансбезпека ,15/16,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2005 року,21.04.2011-20.04.2016,"Підприємство у формі ТОВ ВТП ""Санрайз"" ЛТД, адреса: пров. Дорожний, 4, м.Луцьк, 43023, АЕ 266844",1+1
80,Київ-Коростень,Київ,Коростень,8876115852634260911,Укртрансбезпека ,15/16,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,18.11.2011-17.11.2016,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
81,Одеса-Почаїв,Одеса,Почаїв,0,Укртрансбезпека ,15/16,щоденно,один ,"М3, ІІІ",,,,2+1
82,Київ-Козацьке,Київ,Козацьке,5680516587048011810,Укртрансбезпека ,15/16,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2013 року,21.11.2015-20.11.2020,"ТОВ ""ЛАТК-0777"", адреса: просп. Повітрофлотський, буд. 72, м.Київ, АЕ 573027",1+1
83,Умань-Вікнина,Умань,Вікнина,0,Укртрансбезпека ,15/16,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
84,Красний Луч-Сніжне,Красний Луч,Сніжне,8252780015721235856,Укртрансбезпека ,17/18,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2006 року,19.06.2014-18.06.2019,"ТДВ ""АТП 10911"" адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область; АД 033931",1+1
85,Жовті Води-Бердянськ,Жовті Води,Бердянськ,3447262132711762631,Укртрансбезпека ,17/18,щоденно,один ,"М3, ІІІ",Починаючи з 1999 року,18.11.2011-17.11.2016,"ФОП Налюшній І.О., адреса: вул.Кирова, 66, кв.49, м.Бердянськ, Запорізька область, 71100, АВ 532736",2+1
86,Херсон-Іллічівськ,Херсон,Іллічівськ,3004758266130042808,Укртрансбезпека ,17/18,щоденно,один ,"М3, ІІІ",Починаючи з 2010 року,17.03.2011-16.03.2016,"ПАТ ""Одесавтотранс"", вул.Транспортна, 5, м.Одеса, 65039, АЕ 422950",1+1
87,Рівне-Луцьк,Рівне,Луцьк,8956083771415767247,Укртрансбезпека ,17/18,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2005 року,21.04.2011-20.04.2016,"Підприємство у формі ТОВ ВТП ""Санрайз"" ЛТД, адреса: пров. Дорожний, 4, м.Луцьк, 43023, АЕ 266844",1+1
88,Київ-Коростень,Київ,Коростень,8876115852634260911,Укртрансбезпека ,17/18,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,18.11.2011-17.11.2016,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
89,Горлівка-Луганськ,Горлівка,Луганськ,0,Укртрансбезпека ,17/18,щоденно,один ,"М2, М3, В, III",,,,1+1
90,Чернівці-Снятин,Чернівці,Снятин,6062980751049362430,Укртрансбезпека ,17/18,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2001 року,21.11.2012-20.11.2017,"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",1+1
91,Бердичів-Вишеньки,Бердичів,Вишеньки,7087968075108586914,Укртрансбезпека ,17/18,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2003 року,09.12.2014-08.12.2019,"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",1+1
92,Умань-Вікнина,Умань,Вікнина,0,Укртрансбезпека ,17/18,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
93,Тячів-Львів,Тячів,Львів,0,Укртрансбезпека ,19/20,щоденно,один ,"М3, ІІІ",,,,2+1
94,Красний Луч-Сніжне,Красний Луч,Сніжне,8252780015721235856,Укртрансбезпека ,19/20,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2006 року,19.06.2014-18.06.2019,"ТДВ ""АТП 10911"" адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область; АД 033931",1+1
95,Суми-Херсон,Суми,Херсон,9087621431471251993,Укртрансбезпека ,19/20,щоденно,один ,"М3, ІІІ",Починаючи з 1986 року,22.09.2011-21.09.2016,"ПрАТ ""Херсонське АТП 16527"", адреса: Новомиколаївське шосе, 9, м.Херсон, 73034, АГ 504980",2+1
96,Чернігів-Київ,Чернігів,Київ,5728274534669838265,Укртрансбезпека ,19/20,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2007 року,01.02.2012-31.01.2017,"ДП ""Техавтосервіс"" ВАТ ""Чернігівавтосервіс"", адреса: вул.Борисенка, 39, м.Чернігів, 14039, АД 075986",1+1
97,Черкаси-Комсомольськ,Черкаси,Комсомольськ,4844438992547647856,Укртрансбезпека ,19/20,щоденно,один ,"М3, ІІІ",Починаючи з 1993 року,29.01.2015-28.01.2020,"ФОП Синьоок І.І., адреса: вул. 50-річчя Перемоги, с.Червона Слобода, Черкаський район, Черкаська область, 19604, АГ 503638",1+1
98,Горлівка-Луганськ,Горлівка,Луганськ,0,Укртрансбезпека ,19/20,щоденно,один ,"М2, М3, В, III",,,,1+1
99,Чернівці-Снятин,Чернівці,Снятин,6062980751049362430,Укртрансбезпека ,19/20,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2001 року,21.11.2012-20.11.2017,"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",1+1
100,Луцьк-Тернопіль,Луцьк,Тернопіль,848856767841197891,Укртрансбезпека ,19/20,щоденно,один ,"М3, ІІІ",Починаючи з 2013 року,25.11.2015-24.11.2020,"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",1+1
101,Баранівка-Київ,Баранівка,Київ,8535186015743734308,Укртрансбезпека ,19/20,щоденно,один ,"М3, ІІІ",Починаючи з 1991 року,30.08.2013-29.08.2018,"ФОП Карпенко П.М., адреса: провулок Тютюновий, буд. 1, кв. 4, м.Житомир, 10014, АЕ 187044",1+1
102,Бердичів-Вишеньки,Бердичів,Вишеньки,7087968075108586914,Укртрансбезпека ,19/20,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2003 року,09.12.2014-08.12.2019,"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",1+1
103,Умань-Вікнина,Умань,Вікнина,0,Укртрансбезпека ,19/20,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
