id,first,second,company_id,regulative_institution,route_number,route_regularity,drives_per_day,bus_comfort_level,bus_age,license_data,route_operator,number_of_buses
10,Нововоронцовка,Нікополь,0,Укртрансбезпека ,1/2,щоденно,один ,"М2, М3, В,ІІ, ІІІ",-,-,,1+1
11,Конотоп,Бахмач,0,Укртрансбезпека ,1/2,щоденно,один ,"М2, М3, В,ІІ, ІІІ",,,,1+1
12,Львів,Рогатин,8150840153368572910,Укртрансбезпека ,1/2,щоденно,один ,"М2, М3, В,ІІІ",Починаючи з 2011 року,15.09.2011-14.09.2016,"ТДВ ""Миколаївське АТП 14627"", адреса:Львівське шосе, 1, м.Миколаїв, Львівська область, 81600, АГ 504902 ",1+1
13,Дебальцеве,Красний Луч,954805798406382978,Укртрансбезпека ,3/4,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1986 року,22.04.2013 - 21.04.2018,"ТДВ ""АТП 10911"", адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область, 94505, АД 033931",1+1
14,Київ,Новодністровськ,9186177027252078435,Укртрансбезпека ,3/4,щоденно,один ,"М3, ІІІ",Починаючи з 2010 року ,06.03.2012-05.03.2017,"ТОВ ""Київ-Експрес-1"", адреса: вул.Службова, 5, м.Київ, 03115, АВ 532308",2+1
15,Івано,Франківськ,8197040405926429494,Укртрансбезпека ,3/4,щоденно,один ,"М3, ІІІ",Починаючи з 1990 року,06.03.2014-05.03.2019,"ФОП Яців В.В. , адреса: вул. Б. Хмельницького, буд. 3, кв. 9, м.Калуш, Івано-Франківська область, 77300, АД 076924",2+1
16,Бар,Віньківці,0,Укртрансбезпека ,3/4,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",-,,,1+1
17,Харків,Кирилівка,4028757984470845039,Укртрансбезпека ,3/4,"щоденно, сезонний - в період з 15.06 по 15.09.",один ,"М3, ІІІ",Починаючи з 1987 року,19.05.2011-18.05.2016,"ФОП Возруд М.А., адреса: вул.Велика Кільцева, 136, кв.48, м.Харків, 61143",2+1
18,Рівне,Луцьк,3894730991017247499,Укртрансбезпека ,3/4,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2009 року,25.07.2011-24.07.2016,"ФОП Сергеєва Н.І., адреса: вул. Клима Савура, 1, кв.30, м.Рівне, 33023, АВ 532962",1+1
19,Київ,Коростень,6592077624634029754,Укртрансбезпека ,3/4,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2007 року ,21.08.2014-20.08.2019,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
20,Скала,Подільська,0,Укртрансбезпека ,3/4,щоденно,один ,"М2, М3, В, ІІІ",-,,,1+1
21,Жовті Води,Кіровоград,1284177797322816599,Укртрансбезпека ,3/4,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2011 року,20.04.2014-19.04.2019,"ТОВ ""Автомобільна  компанія ""Транспортні лінії України"", адреса: вул.Виставочна, 2-В, м.Кіровоград, 25014, АГ 586996",1+1
22,Львів,Ворохта,2739773917094934829,Укртрансбезпека ,3/4,щоденно,один ,"М3, ІІІ",Починаючи з 2003 року,01.02.2012-31.01.2017,"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",1+1
23,Нововоронцовка,Кривий Ріг,0,Укртрансбезпека ,3/4,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
24,Полтава,Черкаси,809026480888702631,Укртрансбезпека ,3/4,щоденно,один ,"М3, ІІІ",Починаючи з 2006 року,13.04.2011-12.04.2016,"ПП ""ЛЮГ"", адреса: пров. Рибальський, буд.10-А, м.Полтава, 36020, АЕ 265082",1+1
25,Голованівськ,Київ,653899100669099996,Укртрансбезпека ,3/4,щоденно,один ,"М3, ІІІ",-,-,-,2+1
26,Конотоп,Бахмач,653899100669099996,Укртрансбезпека ,3/4,щоденно,один ,"М2, М3, В, ІІ, ІІІ",-,-,-,1+1
27,Драбів,Київ,653899100669099996,Укртрансбезпека ,3/4,Прямий та зворотній рейси виконуються Пон.Пт.Суб.Нед.,один ,"М3, ІІІ",-,-,-,1+1
28,Дебальцеве,Красний Луч,954805798406382978,Укртрансбезпека ,5/6,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1986 року,22.04.2013-21.04.2018,"ТДВ ""АТП 10911"", адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область, 94505, АД 033931",1+1
29,Кривий Ріг,Херсон,3584912196535626066,Укртрансбезпека ,5/6,щоденно, один,"М3, ІІІ",Починаючи з 2006 року,06.06.2015-05.06.2020,"ТОВ ""ТСК-Авто"", адреса: вул. Урицького, буд. 4, м.Кривий Ріг, Дніпропетровська область, 50004, АВ 616229",1+1
30,Волочиськ,Київ,0,Укртрансбезпека ,5/6,"Прямий рейс виконується Чт.Нед, зворотній рейси - Пон.Пт.",один ,"М3, ІІІ",,,,2+1
31,Івано,Франківськ,5735706934666082401,Укртрансбезпека ,5/6,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 1997 року,15.12.2013-14.12.2018,"ТОВ ""АТП-12629"", адреса:вул.Юності, 52, с.Микитинці, м.Івано-Франківськ, 76492, АВ 510423",1+1
32,Рівне,Луцьк,3894730991017247499,Укртрансбезпека ,5/6,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2009 року,25.07.2011-24.07.2016,"ФОП Сергеєва Н.І., адреса: вул. Клима Савура, 1, кв.30, м.Рівне, 33023, АВ 532962",1+1
33,Київ,Коростень,6592077624634029754,Укртрансбезпека ,5/6,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,18.11.2011-17.11.2016,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
34,Миргород,Мелітополь,809026480888702631,Укртрансбезпека ,5/6,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,24.09.2015-23.09.2020,"ПП ""ЛЮГ"", адреса: пров. Рибальський, буд.10-А, м.Полтава, 36020, АЕ 265082",2+1
35,Нововоронцовка,Апостолове,0,Укртрансбезпека ,5/6,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
36,Конотоп,Бахмач,0,Укртрансбезпека ,5/6,"Прямий та зворотній рейси виконуються Пт, Нед.",один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
37,Чернівці,Снятин,8674762066320692803,Укртрансбезпека ,5/6,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2001 року,21.11.2012-20.11.2017,"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",
38,Вінниця,Умань,5685357808324185858,Укртрансбезпека ,5/6,щоденно,один ,"М3, ІІІ",Починаючи з 1997 року ,30.11.2015-29.11.2020,"ПП "" АТП Кривешко"", адреса: Немирівське шоссе, буд. 92-в, с.Вінницькі Хутори, Вінницький район, Вінницька область, АГ 592041",1+1
39,Чортків,Кам'янець,0,Укртрансбезпека ,5/6,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
40,Запоріжжя,Донецьк,7481335357189963742,Укртрансбезпека ,5/6,щоденно,один ,"М3, ІІІ",Починаючи з 1989 року,21.10.2010-20.11.2015,"ТОВ ""Альфа Транс"", адреса: пр-т Ювілейний, 20-А, кв.204, м.Запоріжжя, 69114, АД 033480",1+1
41,Дебальцеве,Красний Луч,954805798406382978,Укртрансбезпека ,7/8,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1986 року,22.04.2013-21.04.2018,"ТДВ ""АТП 10911"", адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область, 94505, АД 033931",1+1
42,Чернівці,Городенка,4414260939644664391,Укртрансбезпека ,7/8,щоденно,один ,"М2, М3, В, II, III",Починаючи з 2005 року,16.12.2015-15.12.2020,"ПП ""Нов-Транс-Авто"", адреса: вул. Котовського, буд. 106-А, м.Новоселиця, Чернівецька область, АЕ 421060",1+1
43,Каховка,Полтава,0,Укртрансбезпека ,7/8,щоденно,один ,"М3, ІІІ",,,,2+1
44,Бориспіль,Очаків,40431258496590457,Укртрансбезпека ,7/8,"щоденно, з 01.06. до 31.08. виконується до м. Очаків та с. Чорноморська Коса, в інший час до м. Миколаїв",один ,"М3, ІІІ",Починаючи з 1997 року,29.05.2014-28.05.2019,"ТОВ ""Гаджиев"", адреса: проспект Жовтневий , буд.21-М, м.Миколаїв, 54042, АЕ 266018",2+1
45,Шостка,Чернігів,0,Укртрансбезпека ,7/8,"Прямий та зворотній рейси виконуються Пт, Нед.",один ,"М3, ІІІ",,,,1+1
46,Рівне,Луцьк,0,Укртрансбезпека ,7/8,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
47,Київ,Коростень,6592077624634029754,Укртрансбезпека ,7/8,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,18.11.2011-17.11.2016,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
48,Донецьк,Бердянськ,4323337988782210511,Укртрансбезпека ,7/8,щоденно,один ,"М3, ІІІ",Починаючи з 2009 року,23.09.2014-22.09.2019,"ТОВ ""Горлівське АТП"", адреса вул.Пушкінська, 1, м.Горлівка, Донецька область, АД 076670",1+1
49,Чортків,Кам'янець,0,Укртрансбезпека ,7/8,Прямий та зворотній рейси виконуються Пон.Сер.Пт.Нед.,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
50,Тульчин,Кривий Ріг,0,Укртрансбезпека ,8/9,щоденно,один ,"М3, ІІІ",,,,2+1
51,Київ,Оржиця,8041276315308235131,Укртрансбезпека ,9/10,Прямий та зворотній рейси виконуються Пон.Пт.Суб.Нед.,один ,"М3, ІІІ",Починаючи з 2008 року,23.03.2015-25.03.2020,"ТОВ ""АВТОПАС - К"", адреса:вул.Металургів, 22, м.Бровари, Київська область, 07400, АВ 561170 ",1+1
52,Стрий,Чернівці,0,Укртрансбезпека ,9/10,щоденно,один ,"М3, ІІІ",,,,1+1
53,Армянськ,Хорли,0,Укртрансбезпека ,9/10,щоденно ,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
54,Піщанка,Київ,4326349555798960133,Укртрансбезпека ,9/10,щоденно,один ,"М3, ІІІ",Починаючи з 1996 року,11.04.2015-10.04.2020,"ПрАТ ""Тульчинське АТП-10507"", адреса: вул.Польова,1, с.Нестерварка, Тульчинський район, Вінницька область, 23600, АГ 504834",1+1
55,Теофіполь,Рівне,925017294025368250,Укртрансбезпека ,9/10,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2006 року,22.02.2014-24.02.2019,"ФОП Козак Л.О., адреса: вул. Шевченка, буд.13, с.Лисогірка, Теофіпольський район, Хмельницька область, 30614",1+1
56,Устинівка,Миколаїв,0,Укртрансбезпека ,9/10,Прямий та зворотній рейси виконуються Вівт.Чт.Суб.,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
57,Київ,Коростень,6592077624634029754,Укртрансбезпека ,9/10,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року ,21.08.2014-20.08.2019,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
58,Херсон,Мелітополь,7241314070310757630,Укртрансбезпека ,9/10,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,13.12.2011-12.12.2016,"ТОВ  ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",
59,Чернігів,Київ,0,Укртрансбезпека ,9/10,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
60,Донецьк,Бердянськ,0,Укртрансбезпека ,9/10,"щоденно, сезонний - 15.05-15.09",один ,"М3, ІІІ",,,,1+1
61,Кам'янець,Подільський,2739773917094934829,Укртрансбезпека ,11/12,щоденно,один ,"М3, ІІІ",Починаючи з 2012 року,16.12.2014-15.12.2019,"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",2+1
62,Довбиш,Полонне,7779782072434119319,Укртрансбезпека ,11/12,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1985 року,16.06.2011-15.06.2016,"ФОП Поліковський В.С., адреса: вул. Львівська, 45, смт.Довбиш, Баранівський район, Житомирська область, 12724, АЕ 572349",1+1
63,Київ,Дубно,3864775259528845023,Укртрансбезпека ,11/12,щоденно,один ,"М3, ІІІ",Починаючи з 1990 року,23.01.2014-21.11.2017,"ПрАТ ""Дубенське АТП 15606"", адреса: вул.Мирогощанська, 62, м.Дубно, Рівненська область, 35600, АЕ 267978",2+1
64,Харків,Дніпро,9042540158822844584,Мінінфраструктури,11/12,щоденно,один ,"М3, ІІІ",Починаючи з 1998 року,06.11.2018-05.11.2023,"ТОВ "" Фірма Ікарус"", адреса: вул.Сіриківська, 12, м.Харків, 61017, 
№ 43Л",1+1
65,Острожець,Луцьк,3251338317157850623,Укртрансбезпека ,11/12,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2002 року,19.02.2015-18.02.2020,"ФОП Прибиш П.Я., адреса:вул.Миру, 10, с.Острожець, Млинівський район, Рівненська область, 35100, АГ 584583",1+1
66,Київ,Червоноград,870500324483259997,Укртрансбезпека ,11/12,щоденно,один ,"М3, ІІІ",Починаючи з 1994 року,09.02.2014-08.02.2019,"ТзДВ ""Червоноградське АТП 14628"", адреса: вул.Св.Володимира, 113, м.Червоноград, Львівська область, 80100, АГ 504823",2+1
67,Київ,Коростень,6592077624634029754,Укртрансбезпека ,11/12,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року,21.08.2014-20.08.2019,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
68,Бердянськ,Донецьк,0,Укртрансбезпека ,11/12,щоденно,один ,"М3, ІІІ",,,,1+1
69,Голованівськ,Київ,0,Укртрансбезпека ,11/12,щоденно,один ,"М3, ІІІ",,,,1+1
70,Олександрія,Кривий Ріг,8731968370061083310,Укртрансбезпека ,11/12,Прямий та зворотній рейси виконуються Пт.Нед.,один ,"М2, М3, В, ІІІ",Починаючи з 1988 року,11.04.2015-10.04.2020,"ФОП Колоскова Н.А., адреса: вул.Семашко, 46, кв.90, м.Олександрія, Кіровоградська область, 28000, АД 065365",1+1
71,Чернівці,Снятин,8674762066320692803,Укртрансбезпека ,11/12,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2001 року,21.11.2012-20.11.2017,"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",1+1
72,Чернігів,Київ,0,Укртрансбезпека ,11/12,щоденно,один ,"М2, М3, В, ІІІ",,,,1+1
73,Луганськ,Донецьк,0,Укртрансбезпека ,13/14,щоденно,один ,"М3, ІІІ",,,,1+1
74,Армянськ,Хорли,0,Укртрансбезпека ,13/14,щоденно, один,"М2, М3, В, ІІ, ІІІ",,,,1+1
75,Довбиш,Полонне,7779782072434119319,Укртрансбезпека ,13/14,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1985 року,16.06.2011-15.06.2016,"ФОП Поліковський В.С., адреса: вул. Львівська, 45, смт.Довбиш, Баранівський район, Житомирська область, 12724, АЕ 572349",1+1
76,Хмельницький,Яремча,5599712619153319430,Укртрансбезпека ,13/14,щоденно, один,"М3, ІІІ",Починаючи з 1989 року,27.05.2015-26.05.2020,"ПП ""Яртранс"", адреса: вул. Гагаріна, буд. 5,, м.Хмельницький, АД 076623",2+1
77,Київ,Корюківка,1262940898666026080,Укртрансбезпека ,13/14,щоденно,один ,"М3, ІІІ",Починаючи з 1986 року,17.01.2013-16.01.2018,"ПП Курганський В.П., адреса:вул.Яблунева, 1, кв.35, с.Олександрівка, Чернігівський район, Чернігівська область, 15584, АГ 587995",1+1
78,Рівне,Луцьк,9017023566342752006,Укртрансбезпека ,13/14,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2005 року,21.04.2011-20.04.2016,"Підприємство у формі ТОВ ВТП ""Санрайз"" ЛТД, адреса: пров. Дорожний, 4, м.Луцьк, 43023, АЕ 266844",1+1
79,Київ,Коростень,6592077624634029754,Укртрансбезпека ,13/14,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,18.11.2011-17.11.2016,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
80,Чернігів,Київ,0,Укртрансбезпека ,13/14,щоденно,один ,"М2, М3, В, ІІІ",,,,1+1
81,Первомайськ,Слов'янськ,0,Укртрансбезпека ,15/16,щоденно,один ,"М3, ІІІ",,,,1+1
82,Чернівці,Городенка,4414260939644664391,Укртрансбезпека ,15/16,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2005 року,16.12.2015-15.12.2020,"ПП ""Нов-Транс-Авто"", адреса: вул. Котовського, буд. 106-А, м.Новоселиця, Чернівецька область, АЕ 421060",1+1
83,Дніпропетровськ,Зачепилівка,6605620094050342313,Укртрансбезпека ,15/16,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2005 року,06.08.2014-05.08.2019,"ТОВ ""АТП 11231"", адреса: вул. Винокурова, буд.11, м.Дніпропетровськ, 49051, АЕ 421996",1+1
84,Київ,Івано,3908107732912709521,Укртрансбезпека ,15/16,щоденно,один ,"М3, ІІІ",Починаючи з 1992 року,15.12.2013-14.12.2018,"ТОВ ""АТП-12629"", адреса: вул.Юності, 52, с.Микитинці, м.Івано-Франківськ, 76492, АВ 510429",2+1
85,Полтава,Черкаси,809026480888702631,Укртрансбезпека ,15/16,щоденно,один ,"М3, ІІІ",Починаючи з 2006 року,16.03.2011-15.03.2016,"ПП ""ЛЮГ"", адреса: пров. Рибальський, буд.10-А, м.Полтава, 36020, АЕ 265082",1+1
86,Донецьк,Херсон,8370453281625379162,Укртрансбезпека ,15/16,щоденно,один ,"М3, ІІІ",Починаючи з 1989 року,17.02.2011-16.02.2016,"ПрАТ ""Херсонське АТП 16527"", адреса: Новомиколаївське шосе, 9, м.Херсон, 73034, АГ 504980",2+1
87,Рівне,Луцьк,9017023566342752006,Укртрансбезпека ,15/16,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2005 року,21.04.2011-20.04.2016,"Підприємство у формі ТОВ ВТП ""Санрайз"" ЛТД, адреса: пров. Дорожний, 4, м.Луцьк, 43023, АЕ 266844",1+1
88,Київ,Коростень,6592077624634029754,Укртрансбезпека ,15/16,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,18.11.2011-17.11.2016,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
89,Одеса,Почаїв,0,Укртрансбезпека ,15/16,щоденно,один ,"М3, ІІІ",,,,2+1
90,Тульчин,Кам'янець,0,Укртрансбезпека ,15/16,щоденно,один ,"М3, ІІІ",,,,1+1
91,Київ,Козацьке,5053225168743633533,Укртрансбезпека ,15/16,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2013 року,21.11.2015-20.11.2020,"ТОВ ""ЛАТК-0777"", адреса: просп. Повітрофлотський, буд. 72, м.Київ, АЕ 573027",1+1
92,Умань,Вікнина,0,Укртрансбезпека ,15/16,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
93,Красний Луч,Сніжне,3186969038541715699,Укртрансбезпека ,17/18,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2006 року,19.06.2014-18.06.2019,"ТДВ ""АТП 10911"" адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область; АД 033931",1+1
94,Жовті Води,Бердянськ,913252792709646591,Укртрансбезпека ,17/18,щоденно,один ,"М3, ІІІ",Починаючи з 1999 року,18.11.2011-17.11.2016,"ФОП Налюшній І.О., адреса: вул.Кирова, 66, кв.49, м.Бердянськ, Запорізька область, 71100, АВ 532736",2+1
95,Херсон,Іллічівськ,1385941290342200899,Укртрансбезпека ,17/18,щоденно,один ,"М3, ІІІ",Починаючи з 2010 року,17.03.2011-16.03.2016,"ПАТ ""Одесавтотранс"", вул.Транспортна, 5, м.Одеса, 65039, АЕ 422950",1+1
96,Рівне,Луцьк,9017023566342752006,Укртрансбезпека ,17/18,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2005 року,21.04.2011-20.04.2016,"Підприємство у формі ТОВ ВТП ""Санрайз"" ЛТД, адреса: пров. Дорожний, 4, м.Луцьк, 43023, АЕ 266844",1+1
97,Київ,Коростень,6592077624634029754,Укртрансбезпека ,17/18,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,18.11.2011-17.11.2016,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
98,Івано,Франківськ,5735706934666082401,Укртрансбезпека ,17/18,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 1994 року,21.11.2012-20.11.2017,"ТОВ ""АТП-12629"", адреса:вул.Юності, 52, с.Микитинці, м.Івано-Франківськ, 76492, АВ 510423",1+1
99,Горлівка,Луганськ,0,Укртрансбезпека ,17/18,щоденно,один ,"М2, М3, В, III",,,,1+1
100,Чернівці,Снятин,8674762066320692803,Укртрансбезпека ,17/18,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2001 року,21.11.2012-20.11.2017,"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",1+1
101,Бердичів,Вишеньки,5043889313948880206,Укртрансбезпека ,17/18,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2003 року,09.12.2014-08.12.2019,"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",1+1
102,Умань,Вікнина,0,Укртрансбезпека ,17/18,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
103,Тячів,Львів,0,Укртрансбезпека ,19/20,щоденно,один ,"М3, ІІІ",,,,2+1
104,Красний Луч,Сніжне,3186969038541715699,Укртрансбезпека ,19/20,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2006 року,19.06.2014-18.06.2019,"ТДВ ""АТП 10911"" адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область; АД 033931",1+1
105,Суми,Херсон,8370453281625379162,Укртрансбезпека ,19/20,щоденно,один ,"М3, ІІІ",Починаючи з 1986 року,22.09.2011-21.09.2016,"ПрАТ ""Херсонське АТП 16527"", адреса: Новомиколаївське шосе, 9, м.Херсон, 73034, АГ 504980",2+1
106,Чернігів,Київ,3235716449029856487,Укртрансбезпека ,19/20,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2007 року,01.02.2012-31.01.2017,"ДП ""Техавтосервіс"" ВАТ ""Чернігівавтосервіс"", адреса: вул.Борисенка, 39, м.Чернігів, 14039, АД 075986",1+1
107,Черкаси,Комсомольськ,5026337579064577586,Укртрансбезпека ,19/20,щоденно,один ,"М3, ІІІ",Починаючи з 1993 року,29.01.2015-28.01.2020,"ФОП Синьоок І.І., адреса: вул. 50-річчя Перемоги, с.Червона Слобода, Черкаський район, Черкаська область, 19604, АГ 503638",1+1
108,Коропець,Івано,2048097506055816846,Укртрансбезпека ,19/20,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2004 року,19.02.2015-18.02.2020,"ТОВ ""Бучацьке АТП 16139"", адреса: вул.C.Бандери,  10, м.Бучач, Тернопільська область, 48403, АВ 532596",1+1
109,Горлівка,Луганськ,0,Укртрансбезпека ,19/20,щоденно,один ,"М2, М3, В, III",,,,1+1
110,Чернівці,Снятин,8674762066320692803,Укртрансбезпека ,19/20,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2001 року,21.11.2012-20.11.2017,"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",1+1
111,Луцьк,Тернопіль,1336254524310454948,Укртрансбезпека ,19/20,щоденно,один ,"М3, ІІІ",Починаючи з 2013 року,25.11.2015-24.11.2020,"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",1+1
112,Баранівка,Київ,1415928226527399367,Укртрансбезпека ,19/20,щоденно,один ,"М3, ІІІ",Починаючи з 1991 року,30.08.2013-29.08.2018,"ФОП Карпенко П.М., адреса: провулок Тютюновий, буд. 1, кв. 4, м.Житомир, 10014, АЕ 187044",1+1
113,Бердичів,Вишеньки,5043889313948880206,Укртрансбезпека ,19/20,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2003 року,09.12.2014-08.12.2019,"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",1+1
