arrival,bus_age,bus_comfort_level,company_id,coords,count,departure,drives_per_day,id,license_data,marchRoute,number_of_buses,regulative_institution,route_regularity
Вільхове, - ,"А, В, І, ІІ, ІІІ, М2, М3",2580664563803393024,"[[48.6798458, 39.4672507], [48.6740573, 39.5757628]]",1,Станиця Луганська АС,,3962,24.10.2017-23.10.2022,Станиця Луганська АС - Вільхове,1(1р),Луганська область,"по 1, 2, 3, 4, 5 дням тижня"
Колесниківка, - ,"А, В, І, ІІ, ІІІ, М2, М3",2580664563803393024,"[[48.6798458, 39.4672507], [48.66753, 39.67945]]",1,Станиця Луганська АС,,3963,24.10.2017-23.10.2022,Станиця Луганська АС - Колесниківка,1(1р),Луганська область,"по 1, 2, 3, 4, 5, 6 дням тижня"
Старобільськ АС, - ,"А, В, ІІ, ІІІ, М2, М3",8870819019874204672,"[[48.6798458, 39.4672507], [49.2736853, 38.9255483]]",1,Станиця Луганська АС,,3965,02.11.2017-01.11.2022,Станиця Луганська АС - Старобільськ АС,2 (1р),Луганська область,"постійно, щоденно"
Троїцьке АС, - ,"В, ІІ, ІІІ, М3",8870819019874204672,"[[48.6798458, 39.4672507], [49.9171487, 38.2958101]]",1,Станиця Луганська АС,,3966,02.11.2017-01.11.2022,Станиця Луганська АС - Троїцьке АС,1(1р),Луганська область,"постійно, щоденно"
Станиця Луганська АС, - ,"А, В, ІІ, ІІІ, М2, М3",7227990116689228800,"[[48.72184, 39.18389], [48.6798458, 39.4672507]]",1,Старий Айдар,,3968,11.07.2018 - 10.07.2021,Старий Айдар - Станиця Луганська АС,1,Луганська область,"постійно, щоденно"
Рубіжне АС, - ,"А, В, І, ІІ, ІІІ, М2, М3",5612757228884014080,"[[49.05346, 38.23712], [49.01612129999999, 38.3751403]]",1,Кремінна АС,,3969,11.07.2018 - 10.07.2023,Кремінна АС - Рубіжне АС,1,Луганська область,"постійно, щоденно"
Біловодськ АС, - ,"А, В, І, ІІ, ІІІ, М2, М3",4159770401384409088,"[[49.32708, 39.39744], [49.2088023, 39.5896987]]",1,Брусівка,,3970,11.07.2018 - 10.07.2021,Брусівка - Біловодськ АС,1,Луганська область,"постійно, щоденно"
Гірське, - ,"А, В, І, ІІ, ІІІ, М2, М3",6941658875984492544,"[[48.63328, 38.37804], [48.7326573, 38.4958114]]",1,Попасна,,3971,11.07.2018 - 10.07.2023,Попасна - Гірське,2,Луганська область,"постійно, щоденно"
Врубівка, - ,"А, В, І, ІІ, ІІІ, М2, М3",6941658875984492544,"[[48.63328, 38.37804], [48.7424239, 38.373749]]",1,Попасна,,3972,11.07.2018 - 10.07.2023,Попасна - Врубівка,1,Луганська область,"постійно, щоденно"
Троїцьке (Луганська), - ,"А, В, І, ІІ, ІІІ, М2, М3",6941658875984492544,"[[48.63328, 38.37804], [48.52804, 38.3747]]",1,Попасна,,3973,11.07.2018 - 10.07.2023,Попасна - Троїцьке (Луганська),1,Луганська область,"постійно, по 2, 4, 6 дням тижня"
Діброва, - ,"А, В, ІІ, ІІІ, М2, М3",0,"[[49.37562579999999, 40.1418221], [49.5804323, 40.1049679]]",1,Мілове АС,,3974,,Мілове АС - Діброва,1,Луганська область,"постійно, щоденно"
Біловодськ АС, - ,"А, В, І, ІІ, ІІІ, М2, М3",0,"[[49.08651, 39.82526], [49.2088023, 39.5896987]]",1,Нижньобараниківка,,3976,,Нижньобараниківка - Біловодськ АС,1,Луганська область,"постійно, щоденно"
Передільські дачі, - ,"А, В, І,  ІІ, ІІІ, М2, М3",0,"[[48.737246999999996, 39.2311974], [48.7570882, 39.1491037]]",1,Щастя АС,,3978,,Щастя АС - Передільські дачі,1,Луганська область,сезонний з 01.04. по 15.10
Станиця Луганська АС, - ,"А, В, І,  ІІ, ІІІ, М2, М3",0,"[[48.88184, 39.47454], [48.6798458, 39.4672507]]",1,Верхній Мінченок,,3979,,Верхній Мінченок - Станиця Луганська АС,1,Луганська область,"постійно, щоденно"
Світле, - ,"А, В, І,  ІІ, ІІІ, М2, М3",0,"[[49.2736853, 38.9255483], [49.37755, 38.65392]]",1,Старобільськ АС,,3980,,Старобільськ АС - Світле,1,Луганська область,"постійно, щоденно"
Валуйське, - ,"А, В, І,  ІІ, ІІІ, М2, М3",0,"[[48.6798458, 39.4672507], [48.6681554, 39.5321602]]",1,Станиця Луганська АС,,3982,,Станиця Луганська АС - Валуйське,1,Луганська область,"постійно, щоденно"
Юганівка, - ,"А, В, І,  ІІ, ІІІ, М2, М3",0,"[[48.6798458, 39.4672507], [48.68421, 39.7138]]",1,Станиця Луганська АС,,3983,,Станиця Луганська АС - Юганівка,1,Луганська область,"постійно, щоденно"
Олександрівка (Луганська), - ,"А, В,  ІІ, ІІІ, М2, М3",0,"[[48.6798458, 39.4672507], [48.9713223, 38.6278387]]",1,Станиця Луганська АС,,3984,,Станиця Луганська АС - Олександрівка (Луганська),1,Луганська область,"постійно, щоденно"
Рибгосп, - ,"А, В, І,  ІІ, ІІІ, М2, М3",0,"[[48.6798458, 39.4672507], [48.574041, 39.307815]]",1,Станиця Луганська АС,,3985,,Станиця Луганська АС - Рибгосп,1,Луганська область,"постійно, щоденно"
Гарасимівка, - ,"А, В, І,  ІІ, ІІІ, М2, М3",0,"[[48.6798458, 39.4672507], [48.78198, 39.70496]]",1,Станиця Луганська АС,,3986,,Станиця Луганська АС - Гарасимівка,1,Луганська область,"постійно, щоденно"
Крепи, - ,"А, В,  ІІ, ІІІ, М2, М3",0,"[[48.6798458, 39.4672507], [48.93118, 39.5149]]",1,Станиця Луганська АС,,3987,,Станиця Луганська АС - Крепи,1,Луганська область,"постійно, щоденно"
Комишне, - ,"А, В, І, ІІ, ІІІ, М2, М3",0,"[[48.6798458, 39.4672507], [48.71648, 39.67013]]",1,Станиця Луганська АС,,3988,,Станиця Луганська АС - Комишне,1,Луганська область,"постійно, щоденно"
Золотарівка, - ,"А, В, І, ІІ, ІІІ, М2, М3",0,"[[48.94832, 38.49166], [48.90685, 39.79191]]",1,Сєвєродонецьк,,3989,,Сєвєродонецьк - Золотарівка,1,Луганська область,"постійно, по 2, 3, 4, 5, 6, 7 дням тижня"
Бармашове,,-,5455377196985542656,"[[46.96591, 31.9974], [47.09220999999999, 32.4555919]]",1,Миколаїв,,3990,,Миколаїв - Бармашове,+,Миколаївська область,
Воскресенськ,,-,3213283670695777280,"[[46.96591, 31.9974], [47.0168073, 32.144818]]",1,Миколаїв,,3991,,Миколаїв - Воскресенськ,+,Миколаївська область,
Галицинове (дачі),,-,5455377196985542656,"[[46.96591, 31.9974], [46.7749393, 31.9526076]]",1,Миколаїв,,3992,,Миколаїв - Галицинове (дачі),+,Миколаївська область,
Лупареве,,-,5455377196985542656,"[[46.96591, 31.9974], [46.69167, 31.975]]",1,Миколаїв,,3993,,Миколаїв - Лупареве,+,Миколаївська область,
Грейгове (Воровське),,-,127092731871162048,"[[46.96591, 31.9974], [47.1131423, 32.3766303]]",1,Миколаїв,,3994,,Миколаїв - Грейгове (Воровське),+,Миколаївська область,
Зайчівське,,-,3213283670695777280,"[[46.96591, 31.9974], [47.03667799999999, 32.1115944]]",1,Миколаїв,,3995,,Миколаїв - Зайчівське,+,Миколаївська область,
Калинівка (дачі),,-,127092731871162048,"[[46.96591, 31.9974], [47.0439476, 32.1790359]]",1,Миколаїв,,3999,,Миколаїв - Калинівка (дачі),+,Миколаївська область,
Капустине,+,-,5455377196985542656,"[[46.96591, 31.9974], [47.06370150000001, 32.0337775]]",1,Миколаїв,,4000,-,Миколаїв - Капустине,+,Миколаївська область,
Коларівка,,-,9180177854605206528,"[[46.96591, 31.9974], [47.010258, 32.0620883]]",1,Миколаїв,,4001,,Миколаїв - Коларівка,+,Миколаївська область,
Котляреве,,-,5455377196985542656,"[[46.96591, 31.9974], [46.88541439999999, 32.223481]]",1,Миколаїв,,4003,,Миколаїв - Котляреве,+,Миколаївська область,
Лупареве (дачі),,-,5455377196985542656,"[[46.96591, 31.9974], [46.6952978, 31.97985]]",1,Миколаїв,,4004,,Миколаїв - Лупареве (дачі),+,Миколаївська область,
Луч,,-,5455377196985542656,"[[46.96591, 31.9974], [46.8272605, 32.2197485]]",1,Миколаїв,,4005,,Миколаїв - Луч,+,Миколаївська область,
Новомиколаївка,,-,5455377196985542656,"[[46.96591, 31.9974], [46.965385, 32.3597569]]",1,Миколаїв,,4009,,Миколаїв - Новомиколаївка,+,Миколаївська область,
Пам’ять Комунарів,,-,9058310593813756928,"[[46.96591, 31.9974], [47.0238396, 32.1094149]]",1,Миколаїв,,4012,,Миколаїв - Пам’ять Комунарів,+,Миколаївська область,
Партизанське,,-,5455377196985542656,"[[46.96591, 31.9974], [47.0692873, 32.5320349]]",1,Миколаїв,,4013,,Миколаїв - Партизанське,+,Миколаївська область,
Первомайське (через Засілля),,-,5455377196985542656,"[[46.96591, 31.9974], [47.0254135, 32.4267531]]",1,Миколаїв,,4014,,Миколаїв - Первомайське (через Засілля),+,Миколаївська область,
Пересадівка,+ ,-,3213283670695777280,"[[46.96591, 31.9974], [47.11118099999999, 32.1891602]]",1,Миколаїв,,4015,- ,Миколаїв - Пересадівка,+,Миколаївська область,
Полігон,,-,5455377196985542656,"[[46.96591, 31.9974], [46.9735546, 32.1275975]]",1,Миколаїв,,4017,,Миколаїв - Полігон,+,Миколаївська область,
Прибузьке,,-,5455377196985542656,"[[46.96591, 31.9974], [46.77431079999999, 32.0881431]]",1,Миколаїв,,4018,,Миколаїв - Прибузьке,+,Миколаївська область,
Степова Долина,,-,5455377196985542656,"[[46.96591, 31.9974], [46.7785686, 32.186138]]",1,Миколаїв,,4019,,Миколаїв - Степова Долина,+,Миколаївська область,
Українка,,-,5455377196985542656,"[[46.96591, 31.9974], [46.73239, 31.18746]]",1,Миколаїв,,4020,,Миколаїв - Українка,+,Миколаївська область,
СВТ «Океан»,,-,5455377196985542656,"[[46.96591, 31.9974], [46.80439459999999, 31.9546425]]",1,Миколаїв,,4022,,Миколаїв - СВТ «Океан»,+,Миколаївська область,
Квітневе,,-,5455377196985542656,"[[46.96591, 31.9974], [47.0233599, 32.4546038]]",1,Миколаїв,,4023,,Миколаїв - Квітневе,+,Миколаївська область,
Миколаївське,,-,5455377196985542656,"[[46.96591, 31.9974], [46.9286951, 32.1199633]]",1,Миколаїв,,4024,,Миколаїв - Миколаївське,+,Миколаївська область,
Новоруське,+,-,0,"[[46.96591, 31.9974], [46.9075397, 32.256106]]",1,Миколаїв,,4027,-,Миколаїв - Новоруське,+,Миколаївська область,
Тернувате,,-,9058310593813756928,"[[46.96591, 31.9974], [47.19635539999999, 31.7807891]]",1,Миколаїв,,4031,,Миколаїв - Тернувате,+,Миколаївська область,
Безводне,,-,473650420506720064,"[[46.96591, 31.9974], [46.884821, 31.7411919]]",1,Миколаїв,,4032,,Миколаїв - Безводне,+,Миколаївська область,
Весняне,,-,473650420506720064,"[[46.96591, 31.9974], [46.9746954, 31.8945581]]",1,Миколаїв,,4033,,Миколаїв - Весняне,+,Миколаївська область,
Зелений Яр,,-,9058310593813756928,"[[46.96591, 31.9974], [47.0163066, 31.7426791]]",1,Миколаїв,,4034,,Миколаїв - Зелений Яр,+,Миколаївська область,
Кир’яківка,,-,5799217272340451328,"[[46.96591, 31.9974], [47.0535418, 31.8491611]]",1,Миколаїв,,4035,,Миколаїв - Кир’яківка,+,Миколаївська область,
Корчине,,-,7233281793268752384,"[[46.96591, 31.9974], [47.1879151, 31.6589203]]",1,Миколаїв,,4037,,Миколаїв - Корчине,+,Миколаївська область,
Крива Балка,,-,9058310593813756928,"[[46.96591, 31.9974], [46.955996999999996, 31.8157299]]",1,Миколаїв,,4038,,Миколаїв - Крива Балка,+,Миколаївська область,
Кринички,+,-,9058310593813756928,"[[46.96591, 31.9974], [47.06762, 31.73685]]",1,Миколаїв,,4039,-,Миколаїв - Кринички,+,Миколаївська область,
Маловарварівка,,-,9180177854605206528,"[[46.96591, 31.9974], [46.9416814, 31.6963848]]",1,Миколаїв,,4040,,Миколаїв - Маловарварівка,+,Миколаївська область,
Новобогданівка,,-,9058310593813756928,"[[46.96591, 31.9974], [46.8694956, 31.9599173]]",1,Миколаїв,,4041,,Миколаїв - Новобогданівка,+,Миколаївська область,
Радсад,,-,9058310593813756928,"[[46.96591, 31.9974], [46.90089, 31.98839]]",1,Миколаїв,,4042,,Миколаїв - Радсад,+,Миколаївська область,
Сапетня,,-,9058310593813756928,"[[46.96591, 31.9974], [47.1870149, 31.8110115]]",1,Миколаїв,,4043,,Миколаїв - Сапетня,+,Миколаївська область,
Сливине (дачі),,-,473650420506720064,"[[46.96591, 31.9974], [47.0039812, 31.8523152]]",1,Миколаїв,,4044,,Миколаїв - Сливине (дачі),+,Миколаївська область,
Стара Богданівка,,-,9058310593813756928,"[[46.96591, 31.9974], [46.843077, 31.9107347]]",1,Миколаїв,,4045,,Миколаїв - Стара Богданівка,+,Миколаївська область,
Трихати,,-,9180177854605206528,"[[46.96591, 31.9974], [47.1485772, 31.82592159999999]]",1,Миколаїв,,4046,,Миколаїв - Трихати,+,Миколаївська область,
Червоне Поле,,-,9058310593813756928,"[[46.96591, 31.9974], [47.1366229, 31.5354786]]",1,Миколаїв,,4047,,Миколаїв - Червоне Поле,+,Миколаївська область,
СВТ Підлісне (через Матвіївку),+,-,0,"[[46.96591, 31.9974], [47.4689145, 31.7417973]]",1,Миколаїв,,4050,-,Миколаїв - СВТ Підлісне (через Матвіївку),+,Миколаївська область,
Інгулка,,-,5455377196985542656,"[[46.96591, 31.9974], [47.1979395, 32.223869]]",1,Миколаїв,,4051,,Миколаїв - Інгулка,+,Миколаївська область,
Лоцкіне,,-,9058310593813756928,"[[46.958385, 31.980724], [47.5268, 32.75154]]",1,Миколаїв (залізничний вокзал),,4052,,Миколаїв (залізничний вокзал) - Лоцкіне,+,Миколаївська область,
Миколаїв,,-,5446720530838881280,"[[47.30778, 31.78506], [46.96591, 31.9974]]",1,Нова Одеса,,4053,,Нова Одеса - Миколаїв,+,Миколаївська область,
Баловне,,-,5455377196985542656,"[[46.96591, 31.9974], [47.052451, 31.8918754]]",1,Миколаїв,,4054,,Миколаїв - Баловне,+,Миколаївська область,
Миколаїв,,-,5446720530838881280,"[[47.1241536, 31.8698443], [46.96591, 31.9974]]",1,Гур’ївка,,4055,,Гур’ївка - Миколаїв,+,Миколаївська область,
Миколаїв,+,-,0,"[[47.1977859, 31.8593169], [46.96591, 31.9974]]",1,Себіне (дачі),,4057,-,Себіне (дачі) - Миколаїв,+,Миколаївська область,
Аеропорт,+,-,0,"[[46.96591, 31.9974], [47.056648, 31.918101]]",1,Миколаїв,,4059,-,Миколаїв - Аеропорт,+,Миколаївська область,
Миколаїв,,-,5446720530838881280,"[[47.2084295, 31.8074266], [46.96591, 31.9974]]",1,Новопетрівське,,4062,,Новопетрівське - Миколаїв,+,Миколаївська область,
Улянівка,,-,3213283670695777280,"[[46.96591, 31.9974], [47.2892206, 32.0320446]]",1,Миколаїв,,4064,,Миколаїв - Улянівка,+,Миколаївська область,
Миколаїв,,-,9058310593813756928,"[[46.9197729, 31.5312705], [46.96591, 31.9974]]",1,Кимівка,,4065,,Кимівка - Миколаїв,+,Миколаївська область,
Парутине,,-,127092731871162048,"[[46.96591, 31.9974], [46.7068579, 31.8952702]]",1,Миколаїв,,4066,,Миколаїв - Парутине,+,Миколаївська область,
Червоне Парутине,,-,412438869589510848,"[[46.96591, 31.9974], [46.7390796, 31.82381789999999]]",1,Миколаїв,,4067,,Миколаїв - Червоне Парутине,+,Миколаївська область,
Вознесенськ,,-,349849267339984192,"[[47.3029612, 31.0173624], [47.56494, 31.33078]]",1,Кудрявцівка,,4068,,Кудрявцівка - Вознесенськ,+,Миколаївська область,
Вознесенськ,,-,0,"[[47.35666, 31.23488], [47.56494, 31.33078]]",1,Веселинове,,4069,,Веселинове - Вознесенськ,+,Миколаївська область,
Арбузинка,,-,3116625239015081984,"[[47.56494, 31.33078], [47.90972, 31.31963]]",1,Вознесенськ,,4071,,Вознесенськ - Арбузинка,+,Миколаївська область,
Агрономія,+ ,-,3116625239015081984,"[[47.56494, 31.33078], [47.7690265, 31.3123404]]",1,Вознесенськ,,4072,- ,Вознесенськ - Агрономія,+,Миколаївська область,
Братське (ч/з Петропавлівку),,-,349849267339984192,"[[47.56494, 31.33078], [47.8676859, 31.5766093]]",1,Вознесенськ,,4073,,Вознесенськ - Братське (ч/з Петропавлівку),+,Миколаївська область,
Варюшине,+,-,0,"[[47.56494, 31.33078], [47.3485884, 31.6207292]]",1,Вознесенськ,,4074,-,Вознесенськ - Варюшине,+,Миколаївська область,
Доманівка,+,-,9091659041579374592,"[[47.56494, 31.33078], [47.63192, 30.98851]]",1,Вознесенськ,,4075,-,Вознесенськ - Доманівка,+,Миколаївська область,
Доманівка через Жовтневе,-,- ,0,"[[47.56494, 31.33078], [47.62789040000001, 30.98985099999999]]",1,Вознесенськ,,4076,+,Вознесенськ - Доманівка через Жовтневе,+ ,Миколаївська область,
Веселинове (ч/з Варюшине),+,-,0,"[[46.96591, 31.9974], [47.355543, 31.2376557]]",1,Миколаїв,,4078,-,Миколаїв - Веселинове (ч/з Варюшине),+,Миколаївська область,
Ганнівка Братського району,+,-,5446720530838881280,"[[46.96591, 31.9974], [48.0749729, 31.63477779999999]]",1,Миколаїв,,4079,-,Миколаїв - Ганнівка Братського району,+,Миколаївська область,
Лиса Гора,+,-,9058310593813756928,"[[46.96591, 31.9974], [48.17583210000001, 31.0932091]]",1,Миколаїв,,4080,-,Миколаїв - Лиса Гора,+,Миколаївська область,
Арбузинка (ч/з Братське),+,-,5446720530838881280,"[[46.96591, 31.9974], [47.9114733, 31.3156748]]",1,Миколаїв,,4082,-,Миколаїв - Арбузинка (ч/з Братське),+,Миколаївська область,
Вознесенськ,+,-,5799217272340451328,"[[46.96591, 31.9974], [47.56494, 31.33078]]",1,Миколаїв,,4083,-,Миколаїв - Вознесенськ,+,Миколаївська область,
Воєводське,+,-,9058310593813756928,"[[46.96591, 31.9974], [48.0701657, 31.2301897]]",1,Миколаїв,,4084,-,Миколаїв - Воєводське,+,Миколаївська область,
Снігурівка,+,-,5455377196985542656,"[[46.96591, 31.9974], [47.07579, 32.80516]]",4,Миколаїв,,4085,-,Миколаїв - Снігурівка,+,Миколаївська область,
Березнегувате,+,-,2438004752225195520,"[[46.96591, 31.9974], [47.30783, 32.84993]]",3,Миколаїв,,4086,-,Миколаїв - Березнегувате,+,Миколаївська область,
Петропавлівка,-,-,5455377196985542656,"[[46.96591, 31.9974], [47.7322069, 31.49639909999999]]",1,Миколаїв,,4087,+,Миколаїв - Петропавлівка,+,Миколаївська область,
Баштанка,+,-,2438004752225195520,"[[46.96591, 31.9974], [47.4098736, 32.4412263]]",1,Миколаїв,,4088,-,Миколаїв - Баштанка,+,Миколаївська область,
Новий Буг,+,-,6203080298131600384,"[[46.96591, 31.9974], [47.69308, 32.5216]]",7,Миколаїв,,4091,-,Миколаїв - Новий Буг,+,Миколаївська область,
Градівка,-,-,9058310593813756928,"[[46.96591, 31.9974], [47.3879026, 31.080879]]",1,Миколаїв,,4092,+,Миколаїв - Градівка,+,Миколаївська область,
Веселинове,-,-,9058310593813756928,"[[46.96591, 31.9974], [47.35666, 31.23488]]",4,Миколаїв,,4093,+,Миколаїв - Веселинове,+,Миколаївська область,
Н.Олександрівка (ч/зЄланець ),+,-,0,"[[46.96591, 31.9974], [46.8381863, 32.7590462]]",1,Миколаїв,,4096,-,Миколаїв - Н.Олександрівка (ч/зЄланець ),+,Миколаївська область,
Маліївка,-,-,5455377196985542656,"[[46.96591, 31.9974], [47.4783026, 32.7332464]]",1,Миколаїв,,4097,+,Миколаїв - Маліївка,+,Миколаївська область,
Пісчаний Брід,+,-,0,"[[46.96591, 31.9974], [47.2133267, 31.4079947]]",1,Миколаїв,,4099,-,Миколаїв - Пісчаний Брід,+,Миколаївська область,
Варюшине,+,-,9058310593813756928,"[[46.96591, 31.9974], [47.3485884, 31.6207292]]",1,Миколаїв,,4102,-,Миколаїв - Варюшине,+,Миколаївська область,
Матіясове,-,-,0,"[[46.96591, 31.9974], [46.7587376, 31.4526838]]",1,Миколаїв,,4107,+,Миколаїв - Матіясове,+,Миколаївська область,
Березанка,+,-,9058310593813756928,"[[46.96591, 31.9974], [46.85262, 31.38802]]",2,Миколаїв,,4108,-,Миколаїв - Березанка,+,Миколаївська область,
Веселинове,+,-,9058310593813756928,"[[46.96591, 31.9974], [47.35666, 31.23488]]",1,Миколаїв,,4114,-,Миколаїв - Веселинове,+,Миколаївська область,
Очаків,+,-,5799217272340451328,"[[46.96591, 31.9974], [46.61283, 31.54982]]",4,Миколаїв,,4118,-,Миколаїв - Очаків,+,Миколаївська область,
Миколаїв,-,-,349849267339984192,"[[47.4985982, 31.3961401], [46.96591, 31.9974]]",1,Яструбинове,,4119,+,Яструбинове - Миколаїв,+,Миколаївська область,
Врадіївка,+,-,9091659041579374592,"[[47.63192, 30.98851], [47.86195, 30.59195]]",2,Доманівка,,4121,-,Доманівка - Врадіївка,+,Миколаївська область,
Миколаїв,+,-,5446720530838881280,"[[47.7016599, 31.6720713], [46.96591, 31.9974]]",1,Великосербулівка,,4122,-,Великосербулівка - Миколаїв,+,Миколаївська область,
Миколаїв,+,-,9058310593813756928,"[[47.33119929999999, 31.9583076], [46.96591, 31.9974]]",1,Новошмидтівка,,4124,-,Новошмидтівка - Миколаїв,+,Миколаївська область,
Коблеве,+,-,9058310593813756928,"[[46.96591, 31.9974], [46.66499, 31.20804]]",4,Миколаїв,,4125,-,Миколаїв - Коблеве,+,Миколаївська область,
Перемога,+,-,0,"[[46.96591, 31.9974], [47.2226097, 32.511502]]",1,Миколаїв,,4129,-,Миколаїв - Перемога,+,Миколаївська область,
Калуга,+,-,0,"[[46.96591, 31.9974], [47.36398, 32.93981]]",1,Миколаїв,,4130,-,Миколаїв - Калуга,+,Миколаївська область,
Плющівка,-,-,0,"[[46.96591, 31.9974], [47.399499, 32.3098901]]",1,Миколаїв,,4134,+,Миколаїв - Плющівка,+,Миколаївська область,
Тронка,-,-,0,"[[46.96591, 31.9974], [47.0077885, 31.4279565]]",1,Миколаїв,,4135,+,Миколаїв - Тронка,+,Миколаївська область,
Снігурівка,+,-,0,"[[46.96591, 31.9974], [47.07579, 32.80516]]",1,Миколаїв,,4136,-,Миколаїв - Снігурівка,+,Миколаївська область,
Баштанка,+,-,6203080298131600384,"[[46.96591, 31.9974], [47.4098736, 32.4412263]]",1,Миколаїв,,4137,-,Миколаїв - Баштанка,+,Миколаївська область,
Коблеве,+,-,9058310593813756928,"[[46.975033, 31.99458289999999], [46.66499, 31.20804]]",1,Миколаїв (з/в),,4139,-,Миколаїв (з/в) - Коблеве,+,Миколаївська область,
Новий Буг,-,-,0,"[[47.2716962, 32.6098144], [47.69308, 32.5216]]",1,Явкине,,4140,+,Явкине - Новий Буг,+,Миколаївська область,
Снігурівка,+,-,2438004752225195520,"[[46.96591, 31.9974], [47.07579, 32.80516]]",1,Миколаїв,,4144,-,Миколаїв - Снігурівка,+,Миколаївська область,
Миколаїв,+,-,2438004752225195520,"[[47.30783, 32.84993], [46.96591, 31.9974]]",1,Березнегувате,,4148,-,Березнегувате - Миколаїв,+,Миколаївська область,
Южноукраїнськ,+,-,5799217272340451328,"[[46.96591, 31.9974], [47.81777, 31.18263]]",1,Миколаїв,,4150,-,Миколаїв - Южноукраїнськ,+,Миколаївська область,
Лепетиха,+,-,5455377196985542656,"[[46.96591, 31.9974], [47.33168, 33.04873]]",1,Миколаїв,,4152,-,Миколаїв - Лепетиха,+,Миколаївська область,
Варюшине,+,-,6203080298131600384,"[[47.56494, 31.33078], [47.3485884, 31.6207292]]",1,Вознесенськ,,4154,-,Вознесенськ - Варюшине,+,Миколаївська область,
Возсіятське,+,-,0,"[[46.96591, 31.9974], [47.6692154, 32.1123647]]",1,Миколаїв,,4155,-,Миколаїв - Возсіятське,+,Миколаївська область,
Доманівка,+,-,9058310593813756928,"[[46.96591, 31.9974], [47.63192, 30.98851]]",1,Миколаїв,,4156,-,Миколаїв - Доманівка,+,Миколаївська область,
Миколаїв,+,-,2438004752225195520,"[[47.81777, 31.18263], [46.96591, 31.9974]]",1,Южноукраїнськ,,4157,-,Южноукраїнськ - Миколаїв,+,Миколаївська область,
Врадіївка,+,-,9058310593813756928,"[[46.96591, 31.9974], [47.86195, 30.59195]]",1,Миколаїв,,4160,-,Миколаїв - Врадіївка,+,Миколаївська область,
Ізмаїл АС,,"ІІ, ІІІ; не менше 23 місць",6349592892088748032,"[[46.4845, 29.04498], [45.3516667, 28.8363889]]",1,Височанське,,4165,1/13/2011 - 1/12/2016,Височанське - Ізмаїл АС,#REF!,Одеська область,Щоденно
Кілія АС,,"А, В, ІІ, ІІІ; не менше 18 місць",6349592892088748032,"[[45.3516667, 28.8363889], [45.4522716, 29.2701054]]",2,Ізмаїл АС,,4171,11/11/2005 - 11/11/2005,Ізмаїл АС - Кілія АС,#REF!,Одеська область,Щоденно
Ізмаїл АС (ч\з Кальчеве),,"А, В, ІІ, ІІІ; не менше 18 місць",6349592892088748032,"[[45.79408, 28.74367], [45.3501944, 28.8501919]]",1,Кубей,,4172,10/16/2014 - 10/15/2017,Кубей - Ізмаїл АС (ч\з Кальчеве),#REF!,Одеська область,Щоденно
Новосеменівка (ч\з Маяки),,"ІІ, ІІІ; не менше 25 місць",6349592892088748032,"[[47.7500035, 29.528858], [47.41423169999999, 29.5401132]]",1,Подільськ АС,,4173,10/11/2010 - 10/10/2013,Подільськ АС - Новосеменівка (ч\з Маяки),#REF!,Одеська область,Щоденно
"Одеса АС ""Новий Ринок"" (ч/з Хлібодарське)",,"А, В, І, ІІ, ІІІ; не менше 18 місць",6349592892088748032,"[[46.4779255, 30.5570934], [46.4878081, 30.7245219]]",1,Великий Дальник (перший квартал),,4184,4/14/2016 - 4/13/2021,"Великий Дальник (перший квартал) - Одеса АС ""Новий Ринок"" (ч/з Хлібодарське)",#REF!,Одеська область,Щоденно
Подільськ АС,,"А, В, ІІ, ІІІ; не менше 18 місць",6349592892088748032,"[[47.9370871, 29.6288401], [47.7500035, 29.528858]]",1,Балта АС,,4227,6/18/2013 - 6/17/2018,Балта АС - Подільськ АС,#REF!,Одеська область,Щоденно
Ізмаїл АС,,"А, В, ІІ, ІІІ; не менше 18 місць",6349592892088748032,"[[45.4571578, 28.2792955], [45.3516667, 28.8363889]]",5,Рені АС,,4230,10/28/2013 - 10/27/2018,Рені АС - Ізмаїл АС,#REF!,Одеська область,Щоденно
Рені АС,,"ІІ, ІІІ; не менше 23 місць",6349592892088748032,"[[46.47747, 30.73262], [45.4571578, 28.2792955]]",1,Одеса,,4247,10/28/2014 - 10/27/2017,Одеса - Рені АС,#REF!,Одеська область,Через день
Ізмаїл АС,,"А, В, ІІ, ІІІ; не менше 18 місць",6349592892088748032,"[[45.89167, 28.94944], [45.3516667, 28.8363889]]",1,Олександрівка (Одеська),,4253,8/28/2017 - 8/27/2022,Олександрівка (Одеська) - Ізмаїл АС,#REF!,Одеська область,"По днях тижня - 1, 2, 4, 5, 6, 7"
"Одеса АС ""Паустовського""",,"А, В, ІІ, ІІІ; не менше 18 місць",6349592892088748032,"[[46.3066073, 30.6474884], [46.5960324, 30.8010286]]",1,Чорноморськ АС,,4258,8/15/2017 - 11/14/2017,"Чорноморськ АС - Одеса АС ""Паустовського""",#REF!,Одеська область,Щоденно
Приморське (Одеська),,"А, В, ІІ, ІІІ; не менше 18 місць",6349592892088748032,"[[45.68119, 28.57138], [45.52128, 29.60471]]",1,Виноградівка,,4259,12/28/2012 - 12/27/2017,Виноградівка - Приморське (Одеська),#REF!,Одеська область,Щоденно (Сезонний з 01.06 по 01.09)
